City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,fort mcmurray,56.7268,-111.381,2.56,72,17,3.34,CA,1699639776
268,nolinsk,57.5596,49.9363,1.88,95,100,6.62,RU,1699639776
269,robore,-18.3333,-59.75,39.73,24,90,6.45,BO,1699639777
270,nuuk,64.1835,-51.7216,-4.66,74,40,4.63,GL,1699639777
271,natal,-5.795,-35.2094,29.36,54,40,7.72,BR,1699639777
272,pacific grove,36.6177,-121.9166,18.55,59,0,3.58,US,1699639777
273,olinda,-8.0089,-34.8553,28.85,61,40,5.14,BR,1699639613
274,mount gambier,-37.8333,140.7667,12.97,88,43,5.24,AU,1699639777
275,romanovo,52.6182,81.2271,0.49,92,53,3.74,RU,1699639778
276,hang dong,18.687,98.9194,25.16,88,20,0.51,TH,1699639778
277,pelabuhanratu,-6.9875,106.5514,25.52,90,100,1.11,ID,1699639778
278,kyzyl,51.7,94.45,-17.21,89,9,0.89,RU,1699639778
279,thunder bay,48.4001,-89.3168,0.3,72,65,3.56,CA,1699639684
280,duayaw-nkwanta,7.1724,-2.1028,23.07,95,84,0.83,GH,1699639778
281,alcantara,-2.4089,-44.4147,32.11,62,32,6.46,BR,1699639779
282,namsos,64.4662,11.4957,2.03,75,0,7.72,NO,1699639779
283,kuloy,61.0305,42.4925,0.05,85,59,2.14,RU,1699639779
284,paranaiba,-19.6772,-51.1908,40.7,13,65,3.43,BR,1699639779
285,malango,-2.9627,119.9001,19.43,98,37,0.91,ID,1699639779
286,enid,36.3956,-97.8784,16.09,27,0,3.09,US,1699639723
287,yuksekova,37.5736,44.2872,8.86,66,40,3.6,TR,1699639780
288,kos,36.8933,27.2889,21.14,69,85,2.64,GR,1699639780
289,arkhangel'sk,64.5401,40.5433,-2.15,89,99,3.37,RU,1699639670
290,nea anchialos,39.2833,22.8167,13.64,89,0,2.06,GR,1699639780
291,peace river,56.2501,-117.286,4.6,66,97,5.84,CA,1699639780
292,kone,-21.0595,164.8658,19.19,81,55,2.28,NC,1699639631
293,port blair,11.6667,92.75,26.02,94,75,3.09,IN,1699639781
294,mitu,1.1983,-70.1733,27.96,83,73,1.52,CO,1699639781
295,fortuna,40.5982,-124.1573,12.59,93,40,0.0,US,1699639781
296,afaahiti,-17.75,-149.2833,27.93,85,95,4.89,PF,1699639781
297,port alfred,-33.5906,26.891,20.66,86,16,8.76,ZA,1699639781
298,leh,34.1667,77.5833,0.31,80,97,0.9,IN,1699639782
299,belmonte,-15.8631,-38.8828,28.08,62,1,4.76,BR,1699639782
300,haiku-pauwela,20.9219,-156.3051,25.02,67,20,2.57,US,1699639782
301,bay roberts,47.5999,-53.2648,5.03,80,100,4.47,CA,1699639782
302,yigo village,13.5361,144.8886,27.4,88,75,7.72,GU,1699639782
303,xilin hot,43.9667,116.0333,-17.87,95,10,1.61,CN,1699639783
304,rawah,34.4816,41.9093,22.06,31,14,3.37,IQ,1699639783
305,hadibu,12.65,54.0333,26.76,81,88,4.8,YE,1699639586
306,almeirim,-1.5233,-52.5817,37.83,30,7,2.3,BR,1699639783
307,trujillo,-8.116,-79.03,20.98,78,75,5.66,PE,1699639554
308,kyren,51.6828,102.1408,-13.36,84,8,0.89,RU,1699639783
309,merizo village,13.2658,144.6691,28.1,80,76,8.19,GU,1699639784
310,el zulia,7.9325,-72.6012,34.73,43,40,6.17,CO,1699639784
311,ola,59.5833,151.2833,-17.19,84,39,6.32,RU,1699639784
312,buka,40.8108,69.1986,10.73,36,76,1.1,UZ,1699639784
313,takestan,36.0696,49.6959,11.15,80,94,3.91,IR,1699639784
314,road town,18.4167,-64.6167,28.05,74,20,5.14,VG,1699639785
315,kapa'a,22.0752,-159.319,26.18,75,20,8.23,US,1699639567
316,jamestown,42.097,-79.2353,11.12,46,100,7.15,US,1699639487
317,saint-philippe,-21.3585,55.7679,25.77,84,58,2.77,RE,1699639601
318,todos santos,23.45,-110.2167,28.91,64,0,2.58,MX,1699639785
319,kaspiysk,42.8816,47.6392,13.9,66,42,4.0,RU,1699639786
320,itupiranga,-5.1347,-49.3267,34.18,43,39,0.84,BR,1699639695
321,kafir qala,34.6667,61.0667,15.93,31,10,3.07,AF,1699639786
322,zhengjiatun,43.5064,123.5064,-10.95,89,5,3.13,CN,1699639786
323,saynshand,44.8824,110.1163,-16.68,84,3,2.19,MN,1699639786
324,dolni chiflik,42.9833,27.7167,15.31,78,90,4.08,BG,1699639787
325,atlantic city,39.3643,-74.4229,8.33,89,100,3.6,US,1699639539
326,greenville,35.6127,-77.3663,19.09,63,100,5.14,US,1699639787
327,machico,32.7,-16.7667,23.34,86,75,3.6,PT,1699639787
328,olean,42.0776,-78.4297,12.38,61,100,2.06,US,1699639775
329,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,98,100,1.79,RU,1699639660
330,egersund,58.4513,5.9997,6.72,75,100,3.34,NO,1699639787
331,acarau,-2.8856,-40.12,29.83,59,5,10.18,BR,1699639788
332,puerto santa,-8.9906,-78.6456,21.16,75,35,5.48,PE,1699639788
333,kathu,7.9178,98.3332,29.83,79,98,2.64,TH,1699639788
334,rawson,-43.3002,-65.1023,29.54,18,49,6.63,AR,1699639788
335,eilat,29.5581,34.9482,25.36,47,20,4.09,IL,1699639667
336,zhaotong,27.3167,103.7167,10.84,86,54,1.84,CN,1699639789
337,ancud,-41.8697,-73.8203,11.84,70,64,8.57,CL,1699639588
338,nueva concepcion,14.2,-91.3,30.76,67,11,1.64,GT,1699639789
339,yaren,-0.5472,166.916,27.19,86,100,14.13,NR,1699639789
340,bandarbeyla,9.4942,50.8122,27.11,82,100,6.17,SO,1699639789
341,boende,-0.2167,20.8667,23.4,93,88,1.16,CD,1699639789
342,maralal,1.0968,36.698,16.95,71,92,4.54,KE,1699639790
343,kerikeri,-35.2268,173.9474,10.4,95,21,1.01,NZ,1699639790
344,kenai,60.5544,-151.2583,-2.17,94,100,2.06,US,1699639790
345,chala,-7.5833,31.2667,19.42,63,85,1.38,TZ,1699639790
346,bumba,2.1833,22.4667,22.82,95,92,0.73,CD,1699639790
347,douentza,14.9951,-2.9517,31.78,16,72,2.18,ML,1699639794
348,myeik,12.4333,98.6,26.09,86,90,1.25,MM,1699639794
349,yartsevo,55.0667,32.6964,4.71,82,99,4.96,RU,1699639794
350,muisne,0.6,-80.0333,25.94,81,99,4.92,EC,1699639794
